@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
243,23.888889,2
243,23.888889,2
242,23.777778,2
242,23.888889,2
243,23.888889,2
241,23.888889,2
240,23.666667,2
238,23.777778,2
236,23.222222,2
235,23.333333,2
234,23.111111,2
232,23,2
231,23,2
227,22.444444,2
224,21.777778,2
222,22.111111,2
219,21.333333,2
217,22.111111,2
213,21.111111,2
208,20.444444,2
203,20,2
197,19.444444,2
192,18.888889,2
210,21.333333,6
204,20.555556,6
197,19.555556,6
192,19.111111,6
188,18.777778,6
189,18.777778,6
194,19.333333,6
198,19.666667,6
199,19.111111,6
197,18.666667,6
183,18.444444,2
185,18.444444,2
187,18.444444,2
189,18.333333,2
189,18.666667,2
191,18.888889,2
192,18.888889,2
191,19.111111,2
189,18.777778,2
188,18.444444,2
186,18.222222,2
185,18.222222,2
185,18.333333,2
185,18.333333,2
186,18.666667,2
185,18.444444,2
185,18.444444,2
185,18.333333,2
187,18.555556,2
187,18.555556,2
188,18.666667,2
188,18.666667,2
188,18.555556,2
189,18.777778,2
191,18.888889,2
193,18.888889,2
196,19.222222,2
198,19.666667,2
202,20.111111,2
205,20.555556,2
209,20.555556,2
211,20.666667,2
214,20.777778,2
215,21,2
217,21,2
219,21.333333,2
220,21.444444,2
221,21.555556,2
222,21.555556,2
220,21.333333,2
221,21.333333,2
220,21.333333,2
222,21.666667,2
224,22,2
226,22.111111,2
227,22.111111,2
229,22.111111,2
231,22.444444,2
235,23.222222,2
238,23.444444,2
240,23.444444,2
242,23.888889,2
242,23.888889,2
242,23.777778,2
242,23.666667,2
243,23.777778,2
242,23.888889,2
241,23.666667,2
239,23.666667,2
237,23.333333,2
236,23.333333,2
235,23.333333,2
233,23.111111,2
232,23,2
228,22.222222,2
226,22.333333,2
225,22.111111,2
222,21.666667,2
220,22,2
216,21.333333,2
210,20.555556,2
205,20.222222,2
199,19.666667,2
195,19.222222,2
216,21.555556,6
212,21.444444,6
203,20.222222,6
196,19.222222,6
193,19.222222,6
191,19,6
194,19.444444,6
199,20,6
203,19.888889,6
204,19.444444,6
202,19.333333,6
181,17.888889,2
184,18.111111,2
187,18.444444,2
188,18.555556,2
190,18.777778,2
192,18.888889,2
194,19.333333,2
194,19.444444,2
192,19.111111,2
190,18.666667,2
188,18.555556,2
186,18.333333,2
185,18.222222,2
183,18.111111,2
183,18.333333,2
181,17.888889,2
181,17.888889,2
181,18.111111,2
182,18,2
182,18.111111,2
183,17.888889,2
184,18.333333,2
185,18.444444,2
187,18.555556,2
189,18.666667,2
192,18.888889,2
195,19.222222,2
197,19.333333,2
201,19.777778,2
203,20,2
207,19.888889,2
209,20.222222,2
211,20.444444,2
212,20.666667,2
213,20.777778,2
214,20.888889,2
215,20.888889,2
215,20.888889,2
216,20.888889,2
215,20.777778,2
216,20.888889,2
215,20.777778,2
216,21.111111,2
219,21.333333,2
220,21.111111,2
222,21.333333,2
223,21.555556,2
226,21.888889,2
229,22.222222,2
232,22.555556,2
236,23.111111,2
238,23.444444,2
239,23.555556,2
240,23.777778,2
242,23.777778,2
243,23.888889,2
242,23.666667,2
241,23.555556,2
239,23.444444,2
237,23.111111,2
236,23.444444,2
235,23.222222,2
233,23,2
232,22.555556,2
228,22.444444,2
226,22.333333,2
225,22.111111,2
222,21.666667,2
219,21.222222,2
216,20.888889,2
210,20.444444,2
205,20.222222,2
199,19.666667,2
195,19.222222,2
217,22,6
211,21.222222,6
201,19.777778,6
194,19,6
190,19,6
190,18.888889,6
194,19.555556,6
198,20,6
202,19.444444,6
203,19.444444,6
200,19.222222,6
181,17.777778,2
184,18.111111,2
186,18.111111,2
188,18.555556,2
190,18.777778,2
193,19,2
195,19.333333,2
196,19.333333,2
195,19.222222,2
193,19.111111,2
190,18.888889,2
187,18.333333,2
184,18,2
181,17.777778,2
179,17.555556,2
177,17.444444,2
176,17.222222,2
176,17.444444,2
176,17.222222,2
176,17.333333,2
179,17.444444,2
181,18,2
183,18.111111,2
185,18.444444,2
189,18.777778,2
191,18.888889,2
195,19.333333,2
198,19.222222,2
202,19.555556,2
204,19.888889,2
206,20.111111,2
208,20.222222,2
210,20.555556,2
210,20.666667,2
210,20.555556,2
211,20.555556,2
212,20.888889,2
212,20.777778,2
212,20.888889,2
212,20.444444,2
212,20.555556,2
211,20.555556,2
212,20.777778,2
214,21,2
215,21,2
216,21,2
218,21.222222,2
221,21.666667,2
224,21.777778,2
227,21.888889,2
230,22.666667,2
233,22.666667,2
235,23,2
237,23,2
239,23.555556,2
240,23.777778,2
240,23.888889,2
239,23.555556,2
237,23.111111,2
235,22.888889,2
233,22.888889,2
232,22.777778,2
231,22.777778,2
230,22.888889,2
227,22.666667,2
225,22,2
223,21.777778,2
221,21.444444,2
218,21.111111,2
215,21.666667,2
210,20.888889,2
204,20.111111,2
198,19.555556,2
194,19.222222,2
219,21.777778,6
218,22,6
210,20.888889,6
199,19.555556,6
191,18.777778,6
186,18.555556,6
187,18.555556,6
190,19,6
193,19.222222,6
196,18.555556,6
195,18.555556,6
192,18.444444,6
181,17.888889,2
184,18.333333,2
186,18.222222,2
188,18.444444,2
190,18.666667,2
192,18.777778,2
195,19.222222,2
196,19.333333,2
195,19.222222,2
194,19.333333,2
191,19.111111,2
188,18.555556,2
184,18.111111,2
181,17.888889,2
179,17.333333,2
177,17.555556,2
175,17,2
174,16.888889,2
174,16.888889,2
174,16.777778,2
176,17.222222,2
179,17.444444,2
183,17.888889,2
185,18.444444,2
189,18.888889,2
192,19.111111,2
195,19.333333,2
198,19.333333,2
202,19.888889,2
204,19.888889,2
206,20.111111,2
208,20.444444,2
208,20.333333,2
209,20.444444,2
209,20.666667,2
209,20.777778,2
209,20.555556,2
208,20.777778,2
208,21,2
208,20.777778,2
208,20.333333,2
208,20.222222,2
208,20.333333,2
210,20.444444,2
211,20.777778,2
212,21.111111,2
213,21,2
215,21.222222,2
218,21.444444,2
220,21.666667,2
224,21.888889,2
226,22,2
229,22.444444,2
231,22.777778,2
234,22.888889,2
236,23.111111,2
237,23.111111,2
236,23.111111,2
234,22.888889,2
232,22.666667,2
230,22.555556,2
228,22.666667,2
227,22.444444,2
227,22.777778,2
225,22.444444,2
224,22,2
223,21.777778,2
222,21.555556,2
219,21.444444,2
217,21.666667,2
213,21.222222,2
208,20.555556,2
201,19.888889,2
196,19.444444,2
220,22.111111,6
217,22.222222,6
208,20.666667,6
196,19.222222,6
187,18.666667,6
184,18.333333,6
185,18.444444,6
186,18.222222,6
187,17.777778,6
188,18.111111,6
187,17.888889,6
178,17.666667,2
181,18.111111,2
184,18.222222,2
186,18.222222,2
189,18.555556,2
191,18.555556,2
194,19.111111,2
196,19.333333,2
196,19.222222,2
195,19.444444,2
193,19.222222,2
190,18.888889,2
187,18.666667,2
183,18.444444,2
182,17.888889,2
180,17.777778,2
178,17.444444,2
176,17.222222,2
176,17.111111,2
176,17.333333,2
178,17.444444,2
181,17.555556,2
184,18.111111,2
187,18.777778,2
191,19,2
193,19.222222,2
196,19.222222,2
199,19.555556,2
202,19.888889,2
204,20,2
205,20.222222,2
206,20.111111,2
206,20.222222,2
205,20.444444,2
204,20.111111,2
204,20.222222,2
203,20.111111,2
202,20.333333,2
202,20.333333,2
201,19.888889,2
202,20.222222,2
202,19.888889,2
203,20.111111,2
205,20.444444,2
207,20.444444,2
207,20.777778,2
208,20.777778,2
210,20.888889,2
212,21,2
214,21.444444,2
218,21.666667,2
220,21.777778,2
223,22,2
226,22.222222,2
229,22.333333,2
233,22.888889,2
234,22.777778,2
233,22.666667,2
232,22.888889,2
231,22.666667,2
229,22.555556,2
226,22.555556,2
225,22.444444,2
226,22.333333,2
225,22.333333,2
224,22.222222,2
223,21.777778,2
222,21.444444,2
220,21.555556,2
218,21.333333,2
215,21.333333,2
210,21,2
203,20.222222,2
198,19.666667,2
224,21.222222,6
220,22.666667,6
216,21.666667,6
206,19.888889,6
193,18.444444,6
184,18.444444,6
181,18,6
182,18.111111,6
182,18,6
181,17.222222,6
181,17,6
178,16.777778,6
174,17.111111,2
178,17.777778,2
181,17.888889,2
184,18,2
187,18.333333,2
190,18.555556,2
194,18.888889,2
196,18.888889,2
197,19.111111,2
197,19.222222,2
195,19.222222,2
193,19.111111,2
190,18.666667,2
187,18.444444,2
186,18.666667,2
184,18.444444,2
183,18.666667,2
181,18.777778,2
181,18.555556,2
180,18.444444,2
182,18,2
184,18.666667,2
187,18.888889,2
189,19.222222,2
193,18.888889,2
194,19.333333,2
196,19.444444,2
198,19.555556,2
201,19.555556,2
201,19.777778,2
202,19.888889,2
202,19.777778,2
201,20,2
199,19.777778,2
197,19.555556,2
197,19.555556,2
196,19.444444,2
195,19.222222,2
194,19.333333,2
194,19.333333,2
